Date,Price
08/16/2018,19.86
08/15/2018,19.95
08/14/2018,20
08/13/2018,19.9
2018-10-08,19.73
2018-09-08,19.42
2018-08-08,19.22
2018-07-08,19.36
2018-06-08,19.42
2018-03-08,19.53
2018-02-08,19.53
2018-01-08,19.69
07/31/2018,19.34
07/30/2018,18.99
07/27/2018,19.09
07/26/2018,19.23
07/25/2018,19.28
07/24/2018,19.01
07/23/2018,19.09
07/20/2018,18.77
07/19/2018,18.56
07/18/2018,18.11
07/17/2018,17.74
07/16/2018,17.59
07/13/2018,17.69
2018-12-07,17.72
2018-11-07,17.95
2018-10-07,17.67
2018-09-07,17.58
2018-06-07,17.28
2018-05-07,17.25
2018-04-07,17.07
2018-03-07,16.65
2018-02-07,16.62
06/29/2018,16.51
06/28/2018,16.52
06/27/2018,16.78
06/26/2018,16.55
06/25/2018,16.54
06/22/2018,16.61
06/21/2018,16.31
06/20/2018,15.98
06/19/2018,15.69
06/18/2018,16.05
06/15/2018,15.98
06/14/2018,16.34
06/13/2018,16.77
2018-12-06,16.61
2018-11-06,16.96
2018-08-06,17.2
2018-07-06,17.37
2018-06-06,17.31
2018-05-06,17.11
2018-04-06,17.42
2018-01-06,16.55
05/31/2018,16.16
05/30/2018,17.02
05/29/2018,17.47
05/28/2018,17.47
05/25/2018,17.17
05/24/2018,17.45
05/23/2018,17.15
05/22/2018,17.08
